booking_id,member_id,class_id,booking_date,status
810960c8-42b8-4160-96d3-315a8487f681,M0000,C005,2023-11-11,cancelled
843d94c2-96b3-4c52-8cfe-a76abb80f612,M0000,C003,2023-10-25,attended
847dc0ab-7e54-40ce-8a32-f413e29c544f,M0000,C008,2023-12-07,attended
65c2a4f4-f39f-41d6-b3b2-c23f2bc58a60,M0000,C002,2023-11-25,attended
0c8d4a8b-ccf1-4fa8-95fd-d8737e1229ee,M0000,C005,2023-11-20,attended
f7d3c831-6897-44d1-923b-7314f0a9a0a2,M0000,C001,2023-12-02,attended
f4cfa299-c6e7-463c-a97f-fa838f722674,M0000,C001,2023-11-26,attended
1cb25915-fb53-4878-9615-40d87d2a3a90,M0000,C001,2023-12-02,attended
55d7a7c0-1e58-4b36-8798-2b3a7d1617dd,M0000,C005,2024-01-04,attended
aedd9b1b-72bf-4b35-8b65-dfb2eba35b23,M0000,C006,2024-01-13,attended
12af86be-7557-40a7-bf4d-01ccd57acd84,M0000,C005,2024-01-25,attended
54e10e46-744e-4fbf-9e2e-a378483d99aa,M0000,C007,2024-01-31,attended
b9a597fc-5539-4f09-bc86-f6bf4b1c6188,M0000,C007,2024-02-02,attended
0a11aa0c-9ace-42a5-bf91-350a9412becf,M0000,C004,2024-01-19,attended
f76e2cc5-8dfc-40d8-9884-11e129b975c1,M0000,C001,2024-01-25,attended
df8f6756-81a6-4b2d-bfa2-2637a3ecfad5,M0000,C003,2024-01-26,attended
d8d0f33c-fc4e-4f22-9273-176070d85ed3,M0000,C001,2024-02-09,attended
023d42ae-d899-4052-8267-9dd232fd2c73,M0000,C008,2024-03-07,attended
9c43992f-a9d9-46ad-bdc1-6d14465d4f37,M0000,C004,2024-02-15,attended
28211c0a-c7b7-4f0c-82f3-8a682e48d785,M0000,C008,2024-02-27,attended
c6163d60-fe57-405f-a5fc-887940eef516,M0000,C001,2024-03-04,attended
93865f57-8e5d-4fde-978c-f0daafe07e8f,M0000,C003,2024-03-09,attended
4e4acbb2-a566-4c2c-8998-f9c97c165d35,M0000,C005,2024-02-18,attended
29e527bf-db89-4b84-be45-8a6d0cc994ef,M0001,C002,2022-04-27,attended
ebb33f94-9c8a-4593-9bbe-9f52ed40dfb8,M0001,C001,2022-05-13,attended
811227f8-b3d1-4212-9a22-738c45409824,M0001,C005,2022-04-23,attended
c80bfb20-75ed-4e4d-a051-b3738b8399b1,M0001,C008,2022-05-12,attended
3c76a6c9-ea1b-4a13-9edd-8eb8bc980eb1,M0001,C004,2022-04-30,missed
6761a759-98fd-4cf6-9a60-bc3a91a86ffa,M0001,C004,2022-04-27,attended
20267753-8367-4d7f-a387-5964a79aead7,M0001,C007,2022-05-01,attended
f0814dec-aa48-4457-bc93-7c7ebd59d742,M0001,C002,2022-04-23,attended
2684ee31-be06-4741-a307-61ce58cebfc9,M0001,C005,2022-06-06,attended
9613ff43-6bbc-46a5-8365-c52f402fef52,M0001,C005,2022-06-07,attended
d8f40f28-738e-4b73-82cd-8e128e82563c,M0001,C001,2022-05-28,attended
6fc4b062-7db7-4942-b56e-edfa1bff7016,M0001,C003,2022-07-12,attended
d2344708-e6a3-41ad-99f5-098dd7db91ec,M0001,C007,2022-06-25,attended
e6348dc8-6aed-4407-b395-602b7d95cd1a,M0001,C005,2022-06-20,attended
d279bacf-99e1-4d4d-a989-33104a68932a,M0001,C007,2022-07-28,cancelled
2bea2b34-74ea-4d0f-ba84-34f194991e48,M0001,C006,2022-08-03,attended
6641e127-0da2-479e-bf65-ba1620211441,M0001,C001,2022-08-24,attended
69c120ae-37db-47ad-9911-e67df49013b7,M0001,C004,2022-08-18,attended
502ab344-ed15-4928-bec0-dbdd8689a1ad,M0001,C006,2022-09-05,attended
a8d7aecf-501a-4da7-bf9c-e1432544a1af,M0001,C005,2022-08-30,attended
8478fe2b-e7cd-47e6-b2da-de88d4dfcadf,M0001,C001,2022-08-19,missed
f6f0fcd0-7857-4d11-9fa3-0c8eb872621b,M0001,C007,2022-08-28,attended
a5041eb5-5c09-466b-ae4e-af10dc3a8b30,M0001,C005,2022-09-07,attended
de95f919-e25e-4023-9b43-8f623c2eb2d1,M0001,C001,2022-08-29,attended
43cf0dca-3c12-4be1-8b07-1dd5a147c114,M0001,C006,2022-09-19,attended
e4a802ea-1775-4049-a260-8c8d90ab22c0,M0001,C003,2022-09-19,attended
0cf00c88-d58d-4333-8019-6449a203c48a,M0001,C006,2022-10-08,missed
8baef99a-d1b3-4dbc-b69f-095799141654,M0001,C001,2022-09-26,attended
e70f3b68-83bc-4b18-a0fc-5c5a37a99749,M0001,C001,2022-10-03,attended
0c4e74d1-c6f3-4a7c-84df-358111bfdc19,M0001,C001,2022-09-21,attended
911db879-9704-4324-bd43-7575c817577f,M0001,C004,2022-10-09,attended
f78d8b01-2d57-47a0-a261-475451bda88d,M0001,C006,2022-10-11,attended
4c362777-d4c8-421d-8e7e-52f695c44764,M0001,C006,2022-11-07,attended
46c8ceae-082d-494d-b54b-2f35b04b206f,M0001,C007,2022-11-09,attended
d5426cd5-3504-499c-bbf8-b3c2fb4a2a8b,M0001,C003,2022-11-04,attended
47025012-5d36-4b24-a982-0d63a31184a5,M0001,C008,2022-11-14,attended
317001b3-3d6d-4352-b3ec-287e124ea056,M0001,C002,2022-11-27,attended
fc419ca9-ce35-44fa-9b3c-4d320bbd509d,M0001,C004,2022-11-28,attended
6e478a23-ee2a-41d5-b05f-a10562ec4dd0,M0001,C004,2022-11-18,attended
a215d36e-5194-479a-9fea-ed7b43588250,M0001,C007,2022-11-26,attended
4a9cf208-de26-49c7-b7ff-41ef9d75fd09,M0001,C004,2022-12-01,attended
7b471960-e02b-4a1e-83d8-130c25138672,M0001,C001,2022-11-12,missed
222108f6-2e2f-4e44-88d2-bd89368a21b9,M0001,C008,2022-11-13,cancelled
4d114474-71f5-4b57-939b-3ef204cf2ce9,M0001,C007,2022-12-14,attended
84d0e05b-2331-47e5-b2d4-722d624fdcf3,M0001,C001,2023-01-04,attended
13ce93a2-ff8c-4dfd-b07c-c6148623c860,M0001,C004,2022-12-11,missed
03aeeea9-4506-4628-aac4-2b2676413250,M0001,C002,2023-01-05,attended
25dac6d7-b438-4f39-a61a-cf467d17d7ce,M0001,C002,2022-12-21,attended
94a14c4c-684c-4f50-939e-1c0d36a17fc8,M0001,C001,2023-01-14,missed
08e24e58-f643-442b-ada2-db44ca1862ae,M0001,C008,2023-02-01,attended
99dbc68e-bdb0-4ccd-89d8-a0a2ee312966,M0001,C005,2023-01-30,attended
def85c6e-9281-4b83-a087-da9202fe3f50,M0001,C002,2023-02-02,attended
7f9e6c0f-1e2d-41c6-b806-5d2103a4296c,M0001,C001,2023-02-02,missed
98cf16bc-4ec4-4aa7-9a08-d6884f70face,M0001,C006,2023-01-22,attended
ea7b901e-85d1-481c-8555-dc44ac8cc08a,M0001,C005,2023-03-09,attended
c3163063-d138-4304-af10-873f29c039a7,M0001,C002,2023-02-28,attended
9826f936-a568-42a2-8cb4-3b8e97ba1ce1,M0001,C005,2023-03-08,attended
ed223592-91e2-4008-9969-103976996c0d,M0001,C004,2023-03-28,attended
222a7b08-d7fa-48a9-8ce3-def0acf487f4,M0001,C006,2023-03-23,attended
31b78f12-7bd3-4fd5-aeb5-2305fe5f6320,M0001,C007,2023-04-10,attended
4fbffd46-c271-4732-97fb-ee0044e59530,M0001,C003,2023-04-16,attended
e582cfc2-bbc2-4424-abfc-91a7c3e01e48,M0001,C003,2023-04-16,attended
bafa9970-136a-4212-8e56-4ab5638f6358,M0001,C005,2023-04-12,attended
6835cb2b-a676-48e3-ab3d-98213557d242,M0001,C002,2023-04-20,attended
ee4222d5-8d39-468b-bfe7-176735a30abc,M0001,C001,2023-04-12,attended
3ca4463a-34c8-443c-82a3-82e8dbeb45df,M0001,C005,2023-05-02,attended
10e5be64-ef08-45c3-b02b-1a9668e87da9,M0001,C007,2023-04-14,attended
4ebd547b-e7a3-4a14-ac59-87063d70cafb,M0001,C001,2023-05-11,cancelled
eaf665c3-765e-402e-bc7e-1d749195b025,M0001,C007,2023-05-17,attended
051ce886-79e0-47f7-9572-5687e2a418b8,M0001,C001,2023-05-23,attended
4c66e409-8a0f-4b73-a8c5-160d858b1103,M0001,C002,2023-05-26,attended
8c4411db-fae9-4c54-9397-5df177c0daa5,M0001,C001,2023-06-02,attended
222bc47f-c2be-4753-a76b-dc40de137730,M0001,C001,2023-05-11,missed
8a1baddf-5932-4b27-b7e0-edb6c8c16abe,M0001,C002,2023-05-21,attended
